source,id,owner_id,owner_code,owner_name,warehouse_id,warehouse_code,product_id,product_code,product_name,location_id,location_code,current_batch_no,current_production_date,current_expiry_date,current_serial_no,problems,new_batch_no,new_production_date,new_expiry_date,new_serial_no,note
detail,191,1,byny,博悦农业,1,1,370,BYNY-0001,国曼8号鸡蛋,1,8-1-1-1,,,,,"missing_batch_no,missing_expiry_date,missing_production_date",,,,,
detail,1,1,byny,博悦农业,1,1,372,BYNY-0003,坚果包装罐子,1,8-1-1-1,,,,,"missing_batch_no,missing_expiry_date,missing_production_date",,,,,
detail,2,1,byny,博悦农业,1,1,373,BYNY-0004,坚果包装盖子,1,8-1-1-1,,,,,"missing_batch_no,missing_expiry_date,missing_production_date",,,,,
detail,3,1,byny,博悦农业,1,1,374,BYNY-0005,坚果包装封口铝膜,1,8-1-1-1,,,,,"missing_batch_no,missing_expiry_date,missing_production_date",,,,,
detail,4,1,byny,博悦农业,1,1,376,BYNY-0007,全豆豆奶自立袋248ml,1,8-1-1-1,,,,,"missing_batch_no,missing_expiry_date,missing_production_date",,,,,
detail,182,1,byny,博悦农业,1,1,376,BYNY-0007,全豆豆奶自立袋248ml,1,8-1-1-1,111,,2026-05-28,,missing_production_date,,,,,
detail,183,1,byny,博悦农业,1,1,376,BYNY-0007,全豆豆奶自立袋248ml,1,8-1-1-1,500111,,2026-05-29,,missing_production_date,,,,,
detail,184,1,byny,博悦农业,1,1,376,BYNY-0007,全豆豆奶自立袋248ml,1,8-1-1-1,21342134,,2026-05-30,,missing_production_date,,,,,
detail,185,1,byny,博悦农业,1,1,376,BYNY-0007,全豆豆奶自立袋248ml,1,8-1-1-1,3001215,,2026-05-31,,missing_production_date,,,,,
detail,186,1,byny,博悦农业,1,1,376,BYNY-0007,全豆豆奶自立袋248ml,1,8-1-1-1,345,,2026-06-07,,missing_production_date,,,,,
detail,187,1,byny,博悦农业,1,1,376,BYNY-0007,全豆豆奶自立袋248ml,1,8-1-1-1,21312312,,2026-05-29,,missing_production_date,,,,,
detail,5,1,byny,博悦农业,1,1,377,BYNY-0008,2.0全豆豆奶250ml标准包,1,8-1-1-1,,,,,"missing_batch_no,missing_expiry_date,missing_production_date",,,,,
detail,6,1,byny,博悦农业,1,1,378,BYNY-0009,2.5学生饮用豆奶250ml标准包,1,8-1-1-1,,,,,"missing_batch_no,missing_expiry_date,missing_production_date",,,,,
detail,7,1,byny,博悦农业,1,1,380,BYNY-0011,3.0无糖全豆豆奶200ML钻石包,1,8-1-1-1,,,,,"missing_batch_no,missing_expiry_date,missing_production_date",,,,,
detail,8,1,byny,博悦农业,1,1,381,BYNY-0012,红装大礼盒250ml*12,1,8-1-1-1,,,,,"missing_batch_no,missing_expiry_date,missing_production_date",,,,,
detail,9,1,byny,博悦农业,1,1,382,BYNY-0013,红装小礼盒250ml*12,1,8-1-1-1,,,,,"missing_batch_no,missing_expiry_date,missing_production_date",,,,,
detail,10,1,byny,博悦农业,1,1,383,BYNY-0014,2.0原味全豆豆奶200ML,1,8-1-1-1,,,,,"missing_batch_no,missing_expiry_date,missing_production_date",,,,,
detail,11,1,byny,博悦农业,1,1,384,BYNY-0015,优家优厨卫净,1,8-1-1-1,,,,,"missing_batch_no,missing_expiry_date,missing_production_date",,,,,
detail,12,1,byny,博悦农业,1,1,385,BYNY-0016,AEX柠檬洗洁精,1,8-1-1-1,,,,,"missing_batch_no,missing_expiry_date,missing_production_date",,,,,
