owner_code,owner_name,product_code,product_name,warehouse_code,location_code,inventory_detail_ids,inventory_transaction_ids,need_batch_no,need_production_date,need_expiry_date,business_confirmed_batch_no,business_confirmed_production_date,business_confirmed_expiry_date,evidence_source,confirmed_by,confirmed_at,remarks
byny,博悦农业,BYNY-0001,国曼8号鸡蛋,1,8-1-1-1,191,218,Y,Y,Y,,,,,,,
byny,博悦农业,BYNY-0003,坚果包装罐子,1,8-1-1-1,1,"1,219,220,221",Y,Y,Y,,,,,,,
byny,博悦农业,BYNY-0004,坚果包装盖子,1,8-1-1-1,2,2,Y,Y,Y,,,,,,,
byny,博悦农业,BYNY-0005,坚果包装封口铝膜,1,8-1-1-1,3,3,Y,Y,Y,,,,,,,
byny,博悦农业,BYNY-0007,全豆豆奶自立袋248ml,1,8-1-1-1,"4,182,183,184,185,186,187","4,184,185,186,187,188,189,190,191,192,193,194,195",Y,Y,Y,,,,,,,
byny,博悦农业,BYNY-0008,2.0全豆豆奶250ml标准包,1,8-1-1-1,5,5,Y,Y,Y,,,,,,,
byny,博悦农业,BYNY-0009,2.5学生饮用豆奶250ml标准包,1,8-1-1-1,6,"6,201,204,207,210,213,216",Y,Y,Y,,,,,,,
byny,博悦农业,BYNY-0011,3.0无糖全豆豆奶200ML钻石包,1,8-1-1-1,7,7,Y,Y,Y,,,,,,,
byny,博悦农业,BYNY-0012,红装大礼盒250ml*12,1,8-1-1-1,8,8,Y,Y,Y,,,,,,,
byny,博悦农业,BYNY-0013,红装小礼盒250ml*12,1,8-1-1-1,9,9,Y,Y,Y,,,,,,,
byny,博悦农业,BYNY-0014,2.0原味全豆豆奶200ML,1,8-1-1-1,10,10,Y,Y,Y,,,,,,,
byny,博悦农业,BYNY-0015,优家优厨卫净,1,8-1-1-1,11,11,Y,Y,Y,,,,,,,
byny,博悦农业,BYNY-0016,AEX柠檬洗洁精,1,8-1-1-1,12,12,Y,Y,Y,,,,,,,
byny,博悦农业,BYNY-0017,AEX薰衣草洗衣液,1,8-1-1-1,13,13,Y,Y,Y,,,,,,,
byny,博悦农业,BYNY-0018,巴旦木300g,1,8-1-1-1,14,14,Y,Y,Y,,,,,,,
byny,博悦农业,BYNY-0019,大松子250g,1,8-1-1-1,15,15,Y,Y,Y,,,,,,,
byny,博悦农业,BYNY-0020,黄葡萄干350g,1,8-1-1-1,16,16,Y,Y,Y,,,,,,,
byny,博悦农业,BYNY-0021,绿葡萄干350g,1,8-1-1-1,17,17,Y,Y,Y,,,,,,,
byny,博悦农业,BYNY-0022,开心果250g,1,8-1-1-1,18,18,Y,Y,Y,,,,,,,
byny,博悦农业,BYNY-0023,夏威夷果330g,1,8-1-1-1,19,19,Y,Y,Y,,,,,,,
byny,博悦农业,BYNY-0026,黑豆浆粉,1,8-1-1-1,20,20,Y,Y,Y,,,,,,,
byny,博悦农业,BYNY-0027,板栗仁100g,1,8-1-1-1,21,21,Y,Y,Y,,,,,,,
byny,博悦农业,BYNY-0028,板栗仁50g,1,8-1-1-1,22,22,Y,Y,Y,,,,,,,
byny,博悦农业,BYNY-0030,芒果干25g,1,8-1-1-1,23,23,Y,Y,Y,,,,,,,
byny,博悦农业,BYNY-0031,芒果干26g,1,8-1-1-1,24,24,Y,Y,Y,,,,,,,
byny,博悦农业,BYNY-0032,芒果干200g,1,8-1-1-1,25,25,Y,Y,Y,,,,,,,
byny,博悦农业,BYNY-0033,芒果干90g,1,8-1-1-1,26,26,Y,Y,Y,,,,,,,
byny,博悦农业,BYNY-0034,芒果干55g,1,8-1-1-1,27,27,Y,Y,Y,,,,,,,
jqrt,金桥融通,JQRT-0001,绿川奢柔3+1挂抽5层,1,8-1-1-1,152,"153,202,205,208,211,214,217",Y,Y,Y,,,,,,,
jqrt,金桥融通,JQRT-0002,九九香3080平纹5层底部抽纸（粉）,1,8-1-1-1,153,"154,203,206,209,212,215",Y,Y,Y,,,,,,,
jqrt,金桥融通,JQRT-0003,贝雅3981抽纸5层400张80抽,1,8-1-1-1,154,155,Y,Y,Y,,,,,,,
jqrt,金桥融通,JQRT-0004,九九香3080平纹5层500张10包（粉）,1,8-1-1-1,155,156,Y,Y,Y,,,,,,,
jqrt,金桥融通,JQRT-0005,糕东来-宁波年糕（条状)500g,1,8-1-1-1,156,157,Y,Y,Y,,,,,,,
jqrt,金桥融通,JQRT-0006,贝尔蒂-宁波年糕（切片）250g,1,8-1-1-1,157,158,Y,Y,Y,,,,,,,
